Feature Type,Metric,Subset Proportion: 0.1,Subset Proportion: 0.2,Subset Proportion: 0.3,Subset Proportion: 0.4,Subset Proportion: 0.5,Subset Proportion: 0.6,Subset Proportion: 0.7,Subset Proportion: 0.8,Subset Proportion: 0.9
numeric,accuracy,0.9653361344537815,0.9667359667359667,0.9656964656964657,0.9667359667359667,0.9620582120582121,0.9630977130977131,0.9656964656964657,0.9656964656964657,0.9667359667359667
numeric,precision,0.9325236167341431,0.9327052489905787,0.9279038718291055,0.9258278145695364,0.9193121693121693,0.924,0.9267643142476698,0.9279038718291055,0.9303882195448461
numeric,recall,0.9773691654879774,0.9801980198019802,0.983026874115983,0.9886845827439887,0.983026874115983,0.9801980198019802,0.9844413012729845,0.983026874115983,0.983026874115983
numeric,f1-score,0.9544198895027624,0.9558620689655173,0.9546703296703297,0.9562243502051984,0.9501025290498974,0.9512697323266988,0.9547325102880658,0.9546703296703297,0.9559834938101789
categorical,accuracy,0.930672268907563,0.9381496881496881,0.9381496881496881,0.9433471933471933,0.9412681912681913,0.9397089397089398,0.9417879417879418,0.9438669438669439,0.9454261954261954
categorical,precision,0.8306122448979592,0.8417849898580122,0.8445807770961146,0.8652631578947368,0.859538784067086,0.8541666666666666,0.8583333333333333,0.8625,0.8633540372670807
categorical,recall,0.8925438596491229,0.9100877192982456,0.9057017543859649,0.9013157894736842,0.8991228070175439,0.8991228070175439,0.9035087719298246,0.9078947368421053,0.9144736842105263
categorical,f1-score,0.8604651162790699,0.8746048472075869,0.874074074074074,0.882921589688507,0.8788853161843516,0.876068376068376,0.8803418803418803,0.8846153846153847,0.8881789137380192
datetime,accuracy,0.9968487394957983,0.9948024948024948,0.9963617463617463,0.9958419958419958,0.9968814968814969,0.9968814968814969,0.9953222453222453,0.9953222453222453,0.9958419958419958
datetime,precision,0.9770992366412213,0.9645390070921985,0.9855072463768116,0.965034965034965,0.9856115107913669,0.9856115107913669,0.9714285714285714,0.9782608695652174,0.9784172661870504
datetime,recall,0.9770992366412213,0.9645390070921985,0.9645390070921985,0.9787234042553191,0.9716312056737588,0.9716312056737588,0.9645390070921985,0.9574468085106383,0.9645390070921985
datetime,f1-score,0.9770992366412213,0.9645390070921985,0.974910394265233,0.971830985915493,0.9785714285714285,0.9785714285714285,0.9679715302491102,0.967741935483871,0.9714285714285714
sentence,accuracy,0.9889705882352942,0.985966735966736,0.985966735966736,0.9875259875259875,0.9875259875259875,0.988045738045738,0.9896049896049897,0.989085239085239,0.9896049896049897
sentence,precision,0.891566265060241,0.8705882352941177,0.8705882352941177,0.875,0.8666666666666667,0.8764044943820225,0.8977272727272727,0.8876404494382022,0.9069767441860465
sentence,recall,0.8604651162790697,0.8222222222222222,0.8222222222222222,0.8555555555555555,0.8666666666666667,0.8666666666666667,0.8777777777777778,0.8777777777777778,0.8666666666666667
sentence,f1-score,0.8757396449704141,0.8457142857142856,0.8457142857142856,0.8651685393258427,0.8666666666666667,0.8715083798882682,0.8876404494382022,0.88268156424581,0.8863636363636364
url,accuracy,0.9968487394957983,0.997920997920998,0.9994802494802495,0.9984407484407485,0.998960498960499,0.998960498960499,0.998960498960499,0.998960498960499,0.998960498960499
url,precision,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0
url,recall,0.8125,0.90625,0.96875,0.90625,0.9375,0.9375,0.9375,0.9375,0.9375
url,f1-score,0.896551724137931,0.9354838709677419,0.9841269841269841,0.9508196721311475,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
embedded-number,accuracy,0.9894957983193278,0.9911642411642412,0.9911642411642412,0.9932432432432432,0.9906444906444907,0.9916839916839917,0.9916839916839917,0.9916839916839917,0.9916839916839917
embedded-number,precision,0.8860759493670886,0.922077922077922,0.9113924050632911,0.948051948051948,0.9102564102564102,0.9024390243902439,0.9230769230769231,0.9230769230769231,0.9230769230769231
embedded-number,recall,0.8641975308641975,0.8658536585365854,0.8780487804878049,0.8902439024390244,0.8658536585365854,0.9024390243902439,0.8780487804878049,0.8780487804878049,0.8780487804878049
embedded-number,f1-score,0.8749999999999999,0.8930817610062892,0.8944099378881988,0.9182389937106918,0.8875000000000001,0.9024390243902439,0.9,0.9,0.9
list,accuracy,0.9926470588235294,0.9922037422037422,0.9922037422037422,0.9922037422037422,0.9916839916839917,0.9916839916839917,0.9927234927234927,0.9916839916839917,0.9932432432432432
list,precision,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8,0.8,0.8571428571428571,0.8,1.0
list,recall,0.2777777777777778,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.3157894736842105,0.21052631578947367,0.3157894736842105
list,f1-score,0.4166666666666667,0.34782608695652173,0.34782608695652173,0.39999999999999997,0.3333333333333333,0.3333333333333333,0.46153846153846156,0.3333333333333333,0.4799999999999999
not-generalizable,accuracy,0.9537815126050421,0.9594594594594594,0.9599792099792099,0.9625779625779626,0.9625779625779626,0.9589397089397089,0.9641372141372141,0.9630977130977131,0.9625779625779626
not-generalizable,precision,0.8125,0.835,0.8426395939086294,0.8465346534653465,0.85,0.841025641025641,0.8629441624365483,0.8578680203045685,0.8571428571428571
not-generalizable,recall,0.75,0.7877358490566038,0.7830188679245284,0.8066037735849056,0.8018867924528302,0.7735849056603774,0.8018867924528302,0.7971698113207547,0.7924528301886793
not-generalizable,f1-score,0.78,0.8106796116504854,0.8117359413202935,0.8260869565217391,0.8252427184466019,0.8058968058968058,0.8312958435207825,0.8264058679706601,0.8235294117647058
context-specific,accuracy,0.9574579831932774,0.9584199584199584,0.9537422037422038,0.9573804573804574,0.9563409563409564,0.9568607068607069,0.9604989604989606,0.9599792099792099,0.9604989604989606
context-specific,precision,0.8333333333333334,0.847682119205298,0.8157894736842105,0.8456375838926175,0.8389261744966443,0.8311688311688312,0.8562091503267973,0.8417721518987342,0.8427672955974843
context-specific,recall,0.7027027027027027,0.6918918918918919,0.6702702702702703,0.6810810810810811,0.6756756756756757,0.6918918918918919,0.7081081081081081,0.7189189189189189,0.7243243243243244
context-specific,f1-score,0.7624633431085044,0.761904761904762,0.7359050445103857,0.7544910179640718,0.7485029940119761,0.7551622418879056,0.7751479289940828,0.7755102040816326,0.7790697674418605
